model_name,split,sample_id,summarizer,f1_score,precision,recall,length_ratio,wer,medical_wer
whisper_base,eval,63,bert_extractive,0.8070175438596491,0.7666666666666667,0.8518518518518519,1.1111111111111112,0.25,0.0
whisper_base,eval,118,mt5_small,0.22222222222222224,0.2916666666666667,0.1794871794871795,0.6153846153846154,0.0681818181818181,0.0
whisper_base,eval,118,bert_extractive,0.9487179487179487,0.9487179487179487,0.9487179487179487,1.0,0.0681818181818181,0.0
whisper_base,eval,75,mt5_small,0.0,0.0,0.0,0.9,0.0,0.0
whisper_base,eval,75,bert_extractive,0.7,0.7,0.7,1.0,0.0,0.0
whisper_base,eval,165,mt5_small,0.1951219512195122,0.2857142857142857,0.14814814814814814,0.5185185185185185,0.032258064516129,0.0
whisper_base,eval,165,bert_extractive,0.9811320754716981,1.0,0.9629629629629629,0.9629629629629629,0.032258064516129,0.0
whisper_base,eval,148,mt5_small,0.303030303030303,0.3333333333333333,0.2777777777777778,0.8333333333333334,0.1666666666666666,0.0
whisper_base,eval,148,bert_extractive,0.7999999999999999,0.8235294117647058,0.7777777777777778,0.9444444444444444,0.1666666666666666,0.0
whisper_base,eval,30,mt5_small,0.34375000000000006,0.4782608695652174,0.2682926829268293,0.5609756097560976,0.196078431372549,0.0
whisper_base,eval,30,bert_extractive,0.8148148148148149,0.825,0.8048780487804879,0.975609756097561,0.196078431372549,0.0
whisper_base,eval,22,mt5_small,0.0,0.0,0.0,0.3448275862068966,0.2,0.0
whisper_base,eval,22,bert_extractive,0.7540983606557378,0.71875,0.7931034482758621,1.103448275862069,0.2,0.0
whisper_base,eval,24,mt5_small,0.25806451612903225,0.4,0.19047619047619047,0.47619047619047616,0.0869565217391304,0.5
whisper_base,eval,24,bert_extractive,0.8,0.8421052631578947,0.7619047619047619,0.9047619047619048,0.0869565217391304,0.5
whisper_base,eval,184,mt5_small,0.2926829268292683,0.35294117647058826,0.25,0.7083333333333334,0.2608695652173913,0.0
whisper_base,eval,184,bert_extractive,0.76,0.7307692307692307,0.7916666666666666,1.0833333333333333,0.2608695652173913,0.0
whisper_base,eval,253,mt5_small,0.06666666666666667,0.14285714285714285,0.043478260869565216,0.30434782608695654,0.08,0.0
whisper_base,eval,253,bert_extractive,0.9130434782608695,0.9130434782608695,0.9130434782608695,1.0,0.08,0.0
whisper_base,eval,84,mt5_small,0.0,0.0,0.0,0.3448275862068966,0.1290322580645161,0.0
